language_code,english_name,traditional_chinese_name,included_in_paid_download,iphone_ipad,home_screen_widget,apple_watch,voice_availability_note,source_url,verified_date
nl,Dutch,荷蘭文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ru,Russian,俄文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
pl,Polish,波蘭文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
tr,Turkish,土耳其文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
sv,Swedish,瑞典文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
da,Danish,丹麥文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
no,Norwegian,挪威文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
fi,Finnish,芬蘭文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
id,Indonesian,印尼文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ms,Malay,馬來文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
vi,Vietnamese,越南文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
th,Thai,泰文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
hi,Hindi,印地文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ar,Arabic,阿拉伯文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
he,Hebrew,希伯來文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
el,Greek,希臘文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
cs,Czech,捷克文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
sk,Slovak,斯洛伐克文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
hr,Croatian,克羅埃西亞文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
hu,Hungarian,匈牙利文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ro,Romanian,羅馬尼亞文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
uk,Ukrainian,烏克蘭文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ca,Catalan,加泰隆尼亞文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
bn,Bengali,孟加拉文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
gu,Gujarati,古吉拉特文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
kn,Kannada,康納達文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ml,Malayalam,馬拉雅拉姆文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
mr,Marathi,馬拉地文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
or,Odia,歐利亞文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
pa,Punjabi,旁遮普文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
sl,Slovenian,斯洛維尼亞文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ta,Tamil,坦米爾文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
te,Telugu,泰盧固文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ur,Urdu,烏爾都文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
