order,symbol_id,concept_uri,symbol,unicode,pinyin,ipa,category,category_uri,example_character,example_pinyin,example_meaning_en
23,u3128,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3128,ㄨ,U+3128,u / wu,u,medial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#medials,五,wǔ,five
24,u3129,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3129,ㄩ,U+3129,ü / yu,y,medial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#medials,魚,yú,fish
25,u311A,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u311A,ㄚ,U+311A,a,a,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,大,dà,big
26,u311B,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u311B,ㄛ,U+311B,o,ɔ,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,波,bō,wave
27,u311C,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u311C,ㄜ,U+311C,e,ɤ,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,喝,hē,to drink
28,u311D,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u311D,ㄝ,U+311D,ê,ɛ,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,誒,ề,hey (interjection)
29,u311E,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u311E,ㄞ,U+311E,ai,ai,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,愛,ài,love
30,u311F,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u311F,ㄟ,U+311F,ei,ei,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,給,gěi,to give
31,u3120,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3120,ㄠ,U+3120,ao,au,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,好,hǎo,good
32,u3121,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3121,ㄡ,U+3121,ou,ou,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,有,yǒu,to have
33,u3122,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3122,ㄢ,U+3122,an,an,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,安,ān,peace
34,u3123,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3123,ㄣ,U+3123,en,ən,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,恩,ēn,grace
35,u3124,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3124,ㄤ,U+3124,ang,aŋ,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,忙,máng,busy
36,u3125,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3125,ㄥ,U+3125,eng,əŋ,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,冷,lěng,cold
37,u3126,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3126,ㄦ,U+3126,er,ɚ,final,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#finals,二,èr,two
